ID,Project,Title,Description,Status,Priority,Estimate,Labels
"P2-02","Phase 2: Personal Reader Fundamentals","[P2-02] Stream Engine (The Heart)","Build the core Stream Engine (/api/stream). Delivers multi-feed fusion (10 feeds -> 1 unified stream), universal JSON normalization ({id, title, summary, link, published, source, image}), cross-feed deduplication, and sub-100ms chronological sorting backed by multi-tier caching.","Todo","Urgent",5,"Tier-1;Phase-2"
"P2-03","Phase 2: Personal Reader Fundamentals","[P2-03] User Feed Management & Folders","Implement D1-backed user subscriptions and folder hierarchy (user_sources, folders). Expose POST /api/follow, POST /api/unfollow, POST /api/folders/create, POST /api/folders/update, GET /api/my-feeds, and GET /api/my-folders with strict token authentication.","Todo","Urgent",3,"Tier-1;Phase-2"
"P2-04","Phase 2: Personal Reader Fundamentals","[P2-04] Feed Discovery Engine","Build keyword and catalog search engine (/api/discover?q=...). Queries D1 catalog with verified badges, presents category starter pills (News, Tech, Finance, AI, EV), and returns suggested feeds for rapid user acquisition.","Todo","High",3,"Tier-1;Phase-2"
"P2-05","Phase 2: Personal Reader Fundamentals","[P2-05] Universal Website Feed Builder & Newsletter Resolver","Build universal website-to-feed ingestion tool (/api/builder). Probes input URLs, inspects <link rel=""alternate""> headers, auto-resolves creator platforms (Substack, Beehiiv, Ghost, Medium), and provides fallback Edge HTML article extraction with live preview.","Todo","High",4,"Tier-1;Phase-2"
"P2-06","Phase 2: Personal Reader Fundamentals","[P2-06] Personal Reader Actions (Starred, Read Later, History)","Implement D1 tables for starred_articles, saved_articles, and read_history. Provide 1-click Star, Save Later, and Read/Unread tracking with endpoints POST /api/star, POST /api/save, GET /api/my-starred, GET /api/my-saved, and POST /api/read-history.","Todo","High",3,"Tier-1;Phase-2"
"P2-07","Phase 2: Personal Reader Fundamentals","[P2-07] Thematic Collections Engine","Build custom thematic collections (collections, collection_sources). Enables users to bundle related feeds into specialized topic collections and generate collection-filtered composite streams (/api/collections/:id/stream).","Todo","High",3,"Tier-1;Phase-2"
"P3-01","Phase 3: Cloud Identity, D1 Persistence & Device Sync","[P3-01] Passwordless Magic Link & OAuth Authentication","Expand auth subsystem to support 1-click Magic Email Login (via Resend/Postmark) and Google/GitHub OAuth integrations with D1 user mapping.","Backlog","High",4,"Tier-1;Phase-3"
"P3-02","Phase 3: Cloud Identity, D1 Persistence & Device Sync","[P3-02] Bidirectional Cloud Sync Engine (D1 ◄► Local)","Build automatic background synchronization between client state and Cloudflare D1 database, ensuring instant multi-device continuity and offline resilience.","Backlog","High",4,"Tier-1;Phase-3"
"P3-03","Phase 3: Cloud Identity, D1 Persistence & Device Sync","[P3-03] User Profile & Persistent Cloud Preferences","Store user layout preferences, reading theme (dark/light/sepia), refresh frequencies, and default start pages in D1 user settings.","Backlog","Medium",2,"Tier-1;Phase-3"
"P3-04","Phase 3: Cloud Identity, D1 Persistence & Device Sync","[P3-04] Multi-Device Session Management & Live Broadcast","Handle secure HTTP-only session cookies and cross-tab BroadcastChannel communication for instant multi-tab status synchronization.","Backlog","Medium",2,"Tier-1;Phase-3"
"P4-01","Phase 4: Search, Curation & Discovery Platform","[P4-01] Global Feed Directory & Autodiscovery Search","Enhance feed search modal with category exploration, popularity rankings from D1, and real-time website URL RSS autodiscovery.","Backlog","High",3,"Tier-1;Phase-4"
"P4-02","Phase 4: Search, Curation & Discovery Platform","[P4-02] Saved Searches & Dynamic Smart Feeds","Allow users to save recurring search queries as dynamic ""Smart Feeds"" that automatically aggregate matching articles across all subscribed feeds.","Backlog","Medium",3,"Tier-2;Phase-4"
"P4-03","Phase 4: Search, Curation & Discovery Platform","[P4-03] Multi-Dimensional Article Tags & Categories","Implement custom tag pills on articles with tag filtering, allowing multi-label cross-categorization outside traditional folder hierarchies.","Backlog","Medium",3,"Tier-2;Phase-4"
"P4-04","Phase 4: Search, Curation & Discovery Platform","[P4-04] Public Collections & Shareable Reading Lists","Generate unique public share links for user-curated feed bundles or article collections with custom branded landing cards.","Backlog","Medium",3,"Tier-2;Phase-4"
"P4-05","Phase 4: Search, Curation & Discovery Platform","[P4-05] Feed Health, Uptime & Latency Diagnostics","Provide an automated health monitoring dashboard showing feed response times, HTTP status codes, and last-successful-fetch timestamps.","Backlog","Low",2,"Tier-1;Phase-4"
"P5-01","Phase 5: SaaS Automation, Alerting & Integrations","[P5-01] Edge Rules & Boolean Query Parser Engine","Build a serverless edge evaluation engine in Cloudflare Worker with full Boolean AST evaluation (AND, OR, NOT, exact quotes, nested parentheses, field targeting title:, source:, author:).","Backlog","High",4,"Tier-2;Phase-5"
"P5-02","Phase 5: SaaS Automation, Alerting & Integrations","[P5-02] Notification Dispatcher (Email & Web Push)","Integrate real-time notification dispatching supporting Web Push API (VAPID) and instant email alerts via transactional mail API.","Backlog","High",4,"Tier-2;Phase-5"
"P5-03","Phase 5: SaaS Automation, Alerting & Integrations","[P5-03] Outbound Webhook Dispatcher","Trigger secure JSON POST webhook payloads to custom HTTP endpoints whenever high-priority keyword or filter rules match incoming articles.","Backlog","Medium",3,"Tier-3;Phase-5"
"P5-04","Phase 5: SaaS Automation, Alerting & Integrations","[P5-04] SaaS Integrations (Slack, Discord, Teams, Zapier)","Pre-built webhook connectors formatting article rich cards directly into Slack channels, Discord webhooks, Microsoft Teams, and Zapier triggers.","Backlog","Medium",4,"Tier-2;Phase-5"
"P5-05","Phase 5: SaaS Automation, Alerting & Integrations","[P5-05] Newsletter Digest Builder Studio","A visual newsletter creator that compiles top starred/curated articles of the week into a responsive HTML email digest.","Backlog","Low",4,"Tier-2;Phase-5"
"P6-01","Phase 6: Edge AI Intelligence Layer","[P6-01] 1-Click Executive AI Article Summaries","Integrate Cloudflare Workers AI (@cf/meta/llama-3-8b-instruct) to generate concise 2-bullet executive summaries directly inside article cards with KV response caching.","Backlog","High",3,"Tier-3;Phase-6"
"P6-02","Phase 6: Edge AI Intelligence Layer","[P6-02] AI Topic Clustering & Semantic De-duplication","Use Cloudflare Vectorize / Text Embeddings to cluster breaking news stories across multiple publishers into single aggregated topic streams.","Backlog","Medium",4,"Tier-3;Phase-6"
"P6-03","Phase 6: Edge AI Intelligence Layer","[P6-03] Brand, Competitor & Executive Tracker","Automated entity extraction and sentiment analysis tracking specific companies, brand mentions, and executive announcements across global feeds.","Backlog","Medium",4,"Tier-3;Phase-6"
"P6-04","Phase 6: Edge AI Intelligence Layer","[P6-04] AI Research Assistant & Interactive Q&A","Interactive AI chatbot enabling users to ask questions, extract key takeaways, and synthesize trends across saved article collections.","Backlog","Low",4,"Tier-3;Phase-6"
"P7-01","Phase 7: Multi-Tenant Enterprise, Workspaces & APIs","[P7-01] Multi-Tenant Team Workspaces Architecture","Implement multi-tenant workspace partitioning in Cloudflare D1 with workspace switcher, shared feed collections, and team member management.","Backlog","Medium",4,"Tier-3;Phase-7"
"P7-02","Phase 7: Multi-Tenant Enterprise, Workspaces & APIs","[P7-02] Role-Based Access Control (Admin/Editor/Viewer)","Granular permissions granting Admins billing/member management, Editors feed/rule curation, and Viewers read-only dashboard access.","Backlog","Medium",3,"Tier-3;Phase-7"
"P7-03","Phase 7: Multi-Tenant Enterprise, Workspaces & APIs","[P7-03] Enterprise SSO (SAML / OIDC) & Audit Logs","Single Sign-On integration via Cloudflare Access / Okta / Azure AD with comprehensive compliance audit logging for team actions.","Backlog","Low",4,"Tier-3;Phase-7"
"P7-04","Phase 7: Multi-Tenant Enterprise, Workspaces & APIs","[P7-04] Developer Public REST API & API Key Management","Expose secure REST API with API key token generation, rate limiting, and OpenAPI/Swagger interactive documentation.","Backlog","Low",3,"Tier-3;Phase-7"
"P7-05","Phase 7: Multi-Tenant Enterprise, Workspaces & APIs","[P7-05] Embeddable Widget Studio & Live Visual Publishing Modes","Visual widget builder offering 6 layout modes (News Wall, Breaking News Ticker, Carousel Slider, Magazine Grid, Imageboard, Classic List) and responsive iframe embed snippet generation.","Backlog","High",4,"Tier-3;Phase-7"
